Title,Link
,
A Corpus for Large-Scale Phonetic Typology,https://arxiv.org/abs/2005.13962
A Few Thousand Translations Go a Long Way! Leveraging Pre-trained Models for African News Translation,https://aclanthology.org/2022.naacl-main.223/
A Post-trainer's Guide to Multilingual Training Data: Uncovering Cross-lingual Transfer Dynamics,https://arxiv.org/abs/2504.16677
Afri-MCQA: Multimodal Cultural Question Answering for African Languages,https://arxiv.org/abs/2601.05699
AfriMTE and AfriCOMET: Enhancing COMET to Embrace Under-resourced African Languages,https://aclanthology.org/2024.naacl-long.334/
AfriQA: Cross-lingual Open-Retrieval Question Answering for African Languages,https://aclanthology.org/2023.findings-emnlp.997/
AfriSenti: A Twitter Sentiment Analysis Benchmark for African Languages,https://aclanthology.org/2023.emnlp-main.862/
AfroMT: Pretraining Strategies and Reproducible Benchmarks for Translation of 8 African Languages,https://arxiv.org/abs/2109.04715
Alexandria: A Multi-Domain Dialectal Arabic Machine Translation Dataset for Culturally Inclusive and Linguistically Diverse LLMs,https://arxiv.org/abs/2601.13099
ArabicMMLU: Assessing Massive Multitask Language Understanding in Arabic,https://aclanthology.org/2024.findings-acl.334/
ARBML: Democratizing Arabic Natural Language Processing Tools,https://aclanthology.org/2020.nlposs-1.2/
Aya 23: Open Weight Releases to Further Multilingual Progress,https://arxiv.org/abs/2405.15032
"Aya Model: An Instruction Finetuned
Open-Access Multilingual Language Model",https://aclanthology.org/2024.acl-long.845.pdf
Beg to Differ: Understanding Reasoning-Answer Misalignment Across Languages,https://arxiv.org/abs/2512.22712
"BibleTTS: a large, high-fidelity, multilingual, and uniquely African speech corpus",https://arxiv.org/abs/2207.03546
BLEnD: A Benchmark for LLMs on Everyday Knowledge in Diverse Cultures and Languages,https://proceedings.neurips.cc/paper_files/paper/2024/hash/8eb88844dafefa92a26aaec9f3acad93-Abstract-Datasets_and_Benchmarks_Track.html
"BLOOM: A 176B-Parameter Open-Acccess Multilingual
Language Model",https://arxiv.org/pdf/2211.05100
BRIGHTER: BRIdging the Gap in Human-Annotated Textual Emotion Recognition Datasets for 28 Languages,https://aclanthology.org/2025.acl-long.436/
Building African Voices,https://arxiv.org/abs/2207.00688
Casablanca: Data and Models for Multidialectal Arabic Speech Recognition,https://aclanthology.org/2024.emnlp-main.1211/
CCMatrix: Mining Billions of High-Quality Parallel Sentences on the Web,https://aclanthology.org/2021.acl-long.507/
Cheetah: Natural Language Generation for 517 African Languages,https://arxiv.org/abs/2401.01053
CIDAR: Culturally Relevant Instruction Dataset For Arabic,https://aclanthology.org/2024.findings-acl.764.pdf
